"B04-coarse-ITS_Rhizome"	"B04-soil-ITS-B_Bulk soil"	"B04-rhizo-ITS_Rhizosphere"	"B11-coarse-ITS_redo_Rhizome"	"B11-soil-ITS_Bulk soil"	"B11-rhizo-ITS_Rhizosphere"	"B02-rhizo-ITS_Rhizome"	"B02-soil-ITS_Bulk soil"	"B02-coarse-ITS_Rhizosphere"	"B03-soil-ITS_Rhizome"	"B03-coarse-ITS_Bulk soil"	"B03-rhizo-ITS_Rhizosphere"	"B07-coarse-ITS_Rhizome"	"B07-soil-ITS_Bulk soil"	"B07-rhizo-ITS_Rhizosphere"	"B08-soil-ITS_Rhizome"	"B08-rhizo-ITS_Bulk soil"	"B08-coarse-ITS_Rhizosphere"	"B09-soil-ITS_Rhizome"	"B09-coarse-ITS_Bulk soil"	"B09-rhizo-ITS_Rhizosphere"	"B10-soil-ITS_Rhizome"	"B10-coarse-ITS_Bulk soil"	"B10-rhizo-ITS_Rhizosphere"	"B14-soil-ITS_Rhizome"	"B14-coarse-ITS_Bulk soil"	"B14-rhizo-ITS_Rhizosphere"	"B15-coarse-ITS_redo_Rhizome"	"B15-rhizo-ITS_Bulk soil"	"B15-soil-ITS_Rhizosphere"	"B16-soil-ITS_Rhizome"	"B16-coarse-ITS_Bulk soil"	"B16-rhizo-ITS_Rhizosphere"	"U03-soil-ITS_Rhizome"	"U03-coarse-ITS_Bulk soil"	"U03-rhizo-ITS_Rhizosphere"	"U06-soil-ITS_Rhizome"	"U06-rhizo-ITS_Bulk soil"	"U06-coarse-ITS_Rhizosphere"	"U07-soil-ITS_Rhizome"	"U07-rhizo-ITS_Bulk soil"	"U07-coarse-ITS_Rhizosphere"	"U08-rhizo-ITS_Rhizome"	"U08-soil-ITS_Bulk soil"	"U08-coarse-ITS_Rhizosphere"	"B01-soil-ITS_Rhizome"	"B01-coarse-ITS_Bulk soil"	"B01-rhizo-ITS_Rhizosphere"	"B05-coarse-ITS_Rhizome"	"B05-soil-ITS_Bulk soil"	"B05-rhizo-ITS_Rhizosphere"	"B06-coarse-ITS_Rhizome"	"B06-soil-ITS_Bulk soil"	"B06-rhizo-ITS_Rhizosphere"	"B12-coarse-ITS_Rhizome"	"B12-soil-ITS_Bulk soil"	"B12-rhizo-ITS_Rhizosphere"	"B13-soil-ITS_Rhizome"	"B13-rhizo-ITS_Bulk soil"	"B13-coarse-ITS_redo_Rhizosphere"	"B17-soil-ITS_Rhizome"	"B17-coarse-ITS_Bulk soil"	"B17-rhizo-ITS_Rhizosphere"	"B18-coarse-ITS-D_Rhizome"	"B18-soil-ITS_Bulk soil"	"B18-rhizo-ITS_Rhizosphere"	"U01-coarse-ITS_Rhizome"	"U01-soil-ITS_Bulk soil"	"U01-rhizo-ITS_Rhizosphere"	"U02-soil-ITS_Rhizome"	"U02-coarse-ITS_Bulk soil"	"U02-rhizo-ITS_Rhizosphere"	"U04-coarse-ITS_Rhizome"	"U04-rhizo-ITS_Bulk soil"	"U04-soil-ITS_Rhizosphere"	"U05-rhizo-ITS_Rhizome"	"U05-coarse-ITS_Bulk soil"	"U05-soil-ITS_Rhizosphere"	"U09-rhizo-ITS_Rhizome"	"U09-soil-ITS_Bulk soil"	"U09-coarse-ITS_Rhizosphere"	"Unknown"
"B06-fine-ITS_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.25545714560936e-10	0.00733679337320009	0.468463873901751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.524199332499503
"B08-fine-ITS-2_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.431449424281382	0.00722649885578283	0.395682201468075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.165641875394761
"B09-fine-ITS_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.253087139934107	0.00202952485755266	0.0040454725660747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.740837862642265
"B10-fine-ITS_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00580295303164618	0.00194808907294981	0.00647118309144711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.985777774803957
"B11-fine-ITS_Stem"	NA	NA	NA	8.31649258267468e-09	0.00390792778621023	0.0734005743135019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.922691489583795
"B12-fine-ITS_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.037655129098961	1.08911220660247e-14	0.0231209454194407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.939223925481587
"B13-fine-ITS_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0472972062111987	0.0181457072241002	0.0351718321079074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.899385254456794
"B14-fine-ITS_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0193491773277035	0.000453905199079592	0.0126793818224686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.967517535650748
"B15-fine-ITS_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.148171320164442	0.0327697407453672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.819058939090191
"B16-fine-ITS_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77901443138869e-07	0.00306435579483705	0.029870159708705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.967065306595015
