"B01-coarse-16S_Rhizome"	"B01-rhizo-16s_Rhizosphere"	"B01-soil-16s_Bulk soil"	"B03-rhizo-16s_Rhizome"	"B03-soil-16s_Rhizosphere"	"B03-coarse-16S_Bulk soil"	"B07-rhizo-16s_Rhizome"	"B07-soil-16s_Rhizosphere"	"B07-coarse-16S_Bulk soil"	"B09-soil-16s_Rhizome"	"B09-rhizo-16s_Rhizosphere"	"B09-coarse-16S_Bulk soil"	"B10-rhizo-16s_Rhizome"	"B10-coarse-16S_Rhizosphere"	"B10-soil-16s_Bulk soil"	"B11-coarse-16S_Rhizome"	"B11-soil-16s_Rhizosphere"	"B11-rhizo-16s_Bulk soil"	"B12-rhizo-16s_Rhizome"	"B12-coarse-16S_Rhizosphere"	"B12-soil-16s_Bulk soil"	"B13-coarse-16S_Rhizome"	"B13-soil-16s_Rhizosphere"	"B13-rhizo-16s_Bulk soil"	"B14-soil-16s_Rhizome"	"B14-coarse-16S_Rhizosphere"	"B14-rhizo-16s_Bulk soil"	"B15-rhizo-16s_Rhizome"	"B15-soil-16s_Rhizosphere"	"B15-coarse-16S_Bulk soil"	"B16-soil-16s_Rhizome"	"B16-rhizo-16s_Rhizosphere"	"B16-coarse-16S_Bulk soil"	"B17-coarse-16S_Rhizome"	"B17-rhizo-16s_Rhizosphere"	"B17-soil-16s_Bulk soil"	"B18-soil-16s_Rhizome"	"B18-rhizo-16s_Rhizosphere"	"B18-coarse-16S_Bulk soil"	"U01-coarse-16S_Rhizome"	"U01-rhizo-16s_Rhizosphere"	"U01-soil-16s_Bulk soil"	"U02-soil-16s_Rhizome"	"U02-rhizo-16s_Rhizosphere"	"U02-coarse-16S_Bulk soil"	"U03-soil-16s_Rhizome"	"U03-rhizo-16s_Rhizosphere"	"U03-coarse-16S_Bulk soil"	"U04-soil-16s_Rhizome"	"U04-rhizo-16s_Rhizosphere"	"U04-coarse-16S_Bulk soil"	"U05-rhizo-16s_Rhizome"	"U05-soil-16s_redo_Rhizosphere"	"U05-coarse-16S_Bulk soil"	"U06-coarse-16S_Rhizome"	"U06-rhizo-16s_Rhizosphere"	"U06-soil-16s_Bulk soil"	"U07-soil-16s_Rhizome"	"U07-coarse-16S_Rhizosphere"	"U07-rhizo-16s_Bulk soil"	"U08-rhizo-16s_Rhizome"	"U08-coarse-16S_Rhizosphere"	"U08-soil-16s_Bulk soil"	"B04-coarse-16S_Rhizome"	"B04-soil-16s_Rhizosphere"	"B04-rhizo-16s_Bulk soil"	"U09-soil-16s_Rhizome"	"U09-coarse-16S-C_Rhizosphere"	"U09-rhizo-16s_Bulk soil"	"Unknown"
"U08-fine-16s_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0227199134413318	0.0190356701695624	0.0280038867856135	NA	NA	NA	NA	NA	NA	0.930240529603492
"B-unk-stem-16S_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.58349113250217e-06	1.57197387208114e-34	0.0386501287430941	NA	NA	NA	0.961345287765773
"B-unk-stem2-16S_Stem"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.11900813964834e-09	0.00865533376082514	0.0321764508962837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.959168210223883
"B01-leaves-16S_Leaf"	0.0816331842792326	0.00568757992237741	0.0360051153187013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.876674120479689
"B01-stem-16S_Fine root"	0.0687636529130715	0.0107802928476993	0.0239893063646179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.896466747874611
"B03-leaves-16S_Stem"	NA	NA	NA	0.00279150711153211	0.00581391791204393	2.68078122712547e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.991394574976424
"B04-fine-16S_Leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.115235561415079	0.000151026890767392	0.0523525827616587	NA	NA	NA	0.832260828932495
"B04-leaves-16S_Fine root"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.03942613754145e-06	0.0125139508485556	0.0752866254323461	NA	NA	NA	0.912195384292961
"B07-leaves-16S_Stem"	NA	NA	NA	NA	NA	NA	0.00469706812014825	0.0500397310251338	0.0305685181373454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.914694682717372
"B07-stem-16S_Leaf"	NA	NA	NA	NA	NA	NA	0.00492668935047034	7.13951649393355e-37	0.299440142799838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.695633167849692
