SampleID	Env	SourceSink	id
U01-leaves-ITS	Leaf	Sink	67
U01-coarse-ITS	Rhizome	Source	68
U01-soil-ITS	Bulk soil	Source	68
U01-rhizo-ITS	Rhizosphere	Source	68
U01-stem-ITS	Stem	Sink	68
U02-soil-ITS	Bulk soil	Source	69
U02-coarse-ITS	Rhizome	Source	69
U02-rhizo-ITS	Rhizosphere	Source	69
U02-leaves-ITS	Leaf	Sink	69
U02-soil-ITS	Bulk soil	Source	70
U02-coarse-ITS	Rhizome	Source	70
U02-rhizo-ITS	Rhizosphere	Source	70
U02-stem-ITS	Stem	Sink	70
U03-soil-ITS	Bulk soil	Source	71
U03-coarse-ITS	Rhizome	Source	71
U03-rhizo-ITS	Rhizosphere	Source	71
U03-leaves-ITS	Leaf	Sink	71
U04-coarse-ITS	Rhizome	Source	72
U04-rhizo-ITS	Rhizosphere	Source	72
U04-soil-ITS	Bulk soil	Source	72
U04-leaves-ITS	Leaf	Sink	72
U04-coarse-ITS	Rhizome	Source	73
U04-rhizo-ITS	Rhizosphere	Source	73
U04-soil-ITS	Bulk soil	Source	73
U04-stem-ITS	Stem	Sink	73
U05-rhizo-ITS	Rhizosphere	Source	74
U05-coarse-ITS	Rhizome	Source	74
U05-soil-ITS	Bulk soil	Source	74
U05-leaves-ITS	Leaf	Sink	74
U05-rhizo-ITS	Rhizosphere	Source	75
U05-coarse-ITS	Rhizome	Source	75
U05-soil-ITS	Bulk soil	Source	75
U05-stem-ITS	Stem	Sink	75
U06-soil-ITS	Bulk soil	Source	76
U06-rhizo-ITS	Rhizosphere	Source	76
U06-coarse-ITS	Rhizome	Source	76
U06-leaves-ITS	Leaf	Sink	76
U07-soil-ITS	Bulk soil	Source	77
U07-rhizo-ITS	Rhizosphere	Source	77
U07-coarse-ITS	Rhizome	Source	77
U07-leaves-ITS	Leaf	Sink	77
U08-rhizo-ITS	Rhizosphere	Source	78
U08-soil-ITS	Bulk soil	Source	78
U08-coarse-ITS	Rhizome	Source	78
U08-leaves-ITS	Leaf	Sink	78
U09-rhizo-ITS	Rhizosphere	Source	79
U09-soil-ITS	Bulk soil	Source	79
U09-coarse-ITS	Rhizome	Source	79
U09-leaves-ITS	Leaf	Sink	79
U09-rhizo-ITS	Rhizosphere	Source	80
U09-soil-ITS	Bulk soil	Source	80
U09-coarse-ITS	Rhizome	Source	80
U09-stem-ITS	Stem	Sink	80
